,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,crime_types_combined,crime_class_type_subtype,max_sentence
6841,2011,2014,White,3.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6842,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Parole,1JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6843,2011,2014,White,0.0,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,unknown,0,0,0.0,False,Public Order_OWI,Aggravated Misdemeanor_Public Order_OWI,2.0
6844,2011,2014,Black,2.0,B Felony,Drug,Trafficking,Parole,3JD,1,1,1.0,True,Drug_Trafficking,B Felony_Drug_Trafficking,50.0
6845,2011,2014,American Native,0.0,D Felony,Property,Vandalism,Parole,6JD,1,1,0.0,True,Property_Vandalism,D Felony_Property_Vandalism,5.0
6846,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6847,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6848,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6849,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6850,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6851,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6852,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6853,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6854,2011,2014,White,0.0,C Felony,Drug,Trafficking,Parole,1JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6855,2011,2014,Asian or Pacific Islander,2.0,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,1,0,0.0,True,Public Order_OWI,D Felony_Public Order_OWI,5.0
6856,2011,2014,Black,0.0,C Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1.0,True,Property_Theft,C Felony_Property_Theft,10.0
6857,2011,2014,Black,0.0,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Other Drug,D Felony_Drug_Other Drug,5.0
6858,2011,2014,White,2.0,D Felony,Drug,Trafficking,Parole,8JD,1,1,1.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6859,2011,2014,White,1.0,D Felony,Public Order,Weapons,Parole,5JD,0,1,0.0,True,Public Order_Weapons,D Felony_Public Order_Weapons,5.0
6860,2011,2014,White,1.0,D Felony,Public Order,Weapons,Parole,5JD,0,1,0.0,True,Public Order_Weapons,D Felony_Public Order_Weapons,5.0
6861,2011,2014,White,1.0,D Felony,Public Order,Weapons,Parole,5JD,0,1,0.0,True,Public Order_Weapons,D Felony_Public Order_Weapons,5.0
